Date,A2336147W,A2336148X,A2336149A,A2336150K,A2336151L,A2336152R,A2336153T,A2336154V,A2336155W,A2336156X,A2336157A,A2336158C,A2336159F,A2336160R,A2336161T,A2336162V,A2336163W,A2336164X,A2336165A,A2336176J,A2336177K,A2336169K,A2336170V,A2336171W,A2336172X,A2336166C,A2336167F,A2336168J,A2713897W,A2713931R,A2336175F,A2336178L,A2336179R,A2336180X,A2336181A,A2336182C,A2336183F,A2336184J,A2336185K,A2336186L,A2336187R,A2336188T,A2336189V,A2336190C,A2336191F,A2336192J,A2478895J,A2336347R,A2336069A,A2336070K,A2336071L,A2336072R,A2336073T,A2336074V,A2336075W,A2336076X,A2336077A,A2336078C,A2336079F,A2336080R,A2336081T,A2336082V,A2336083W,A2336084X,A2336085A,A2336086C,A2336087F,A2336098L,A2336099R,A2336091W,A2336092X,A2336093A,A2336094C,A2336088J,A2336089K,A2336090V,A2713896V,A2713930L,A2336097K,A2336100L,A2336101R,A2336102T,A2336103V,A2336104W,A2336105X,A2336106A,A2336107C,A2336108F,A2336109J,A2336110T,A2336111V,A2336112W,A2336113X,A2336114A,A2478896K,A2336321T,A2714320W,A2714321X,A2714322A,A2714324F,A2714325J,A2714326K,A2714328R,A2714329T,A2714330A,A2714332F,A2714333J,A2714334K,A2714336R,A2714337T,A2714338V,A2714340F,A2714341J,A2714342K,A2714344R,A2714345T,A2714346V,A2714348X,A2714349A,A2714350K,A2714352R,A2714353T,A2714354V,A2714356X,A2714357A,A2714358C,A2714360R,A2714361T,A2714362V,A2714364X,A2714365A,A2714366C,A2714368J,A2714369K,A2714370V,A2714372X,A2714373A,A2714374C,A2714376J,A2714377K,A2714378L,A2714380X,A2714381A,A2714382C,A2714384J,A2714385K,A2714386L,A2714388T,A2714389V,A2714390C,A2714392J,A2714393K,A2714394L,A2335320W,A2335491R,A2335322A,A2335494W,A2335495X,A2335496A,A83748444C,A2334340L,A2334341R,A2334342T,A2334348F,A2334349J,A2334344W,A2334343V,A2713867J,A2713901A,A2334347C,A2334350T,A2334351V,A2334352W,A2334353X,A2334354A,A2334355C,A2334356F,A2334357J,A2334358K,A2334359L,A2334360W,A2715263F,A2715264J,A2715265K,A2715266L,A2715267R,A2715268T,A2715269V,A2715270C,A2715271F,A2715272J,A2715273K,A2715274L,A2715275R,A2715276T,A2715277V,A2715278W,A2715279X,A2715280J,A2715281K,A2334228L,A2334230X,A2715776L,A2715038K,A2715039L,A2715040W,A2715041X,A2715042A,A2715043C,A2715044F,A2715045J,A2715046K,A2715047L,A2715048R,A2715049T,A2715050A,A2715051C,A2715052F,A2715053J,A2715054K,A2715055L,A2529306J,A2478272L,A2478273R,A2478274T,A2478275V,A2714932K,A2714933L,A2714934R,A2714935T,A2714936V,A2714937W,A2714938X,A2714939A,A2714940K,A2714941L,A2714942R,A2714943T,A2714944V,A2714945W,A2714946X,A2714947A,A2714948C,A2714949F,A2714950R,A2529307K,A2478294A,A2478295C,A2478296F,A2715605V,A2715606W,A2715607X,A2715608A,A2715609C,A2715610L,A2715611R,A2715612T,A2715613V,A2715614W,A2715615X,A2715616A,A2715617C,A2715618F,A2715619J,A2715620T,A2715621V,A2715622W,A2715623X,A2529246T,A2478087K,A2478088L,A2478089R,A2714323C,A2714327L,A2714331C,A2714335L,A2714339W,A2714343L,A2714347W,A2714351L,A2714355W,A2714359F,A2714363W,A2714367F,A2714371W,A2714375F,A2714379R,A2714383F,A2714387R,A2714391F,A2714395R,A2529279L,A2478862L,A2478863R,A2478864T,A2478865V,A2713972K,A2713973L,A2713974R,A2713975T,A2713976V,A2713977W,A2713978X,A2713979A,A2713980K,A2713981L,A2713982R,A2713983T,A2713984V,A2713985W,A2713986X,A2713987A,A2713988C,A2713989F,A2713990R,A2529280W,A2478884A,A2478885C,A2478886F,A2715803J,A2715804K,A2715805L,A2715806R,A2715807T,A2715808V,A2715809W,A2715810F,A2715811J,A2715812K,A2715813L,A2715814R,A2715815T,A2715816V,A2715817W,A2715818X,A2715819A,A2715940C,A2715949X,A2529281X,A2478668J,A2478670V,A2714124L,A2714125R,A2714126T,A2714127V,A2714128W,A2714129X,A2714130J,A2714131K,A2714132L,A2714133R,A2714134T,A2714135V,A2714136W,A2714137X,A2714138A,A2714139C,A2714140L,A2714778X,A2714779A,A2529269J,A2528543V,A2528544W,A2528545X
Jun-1990,10365,27888,37477,12976,11030,2888,23191,5654,4666,6351,11522,522,6799,6989,6737,16504,1337,108802,145818,10610,6057,7100,1344,548,9354,4809,-231,4538,985,994,13252,27564,2517,8184,7747,1249,2272,3532,10173,37474,183170,8588,17957,3755,7378,20265,6708,197151,6024,11978,18002,6835,1987,2944,10220,1526,4170,2752,7371,757,5490,1616,2919,8325,666,57579,75581,5156,1344,4842,629,320,5791,7577,-444,7134,787,1371,15083,21584,1521,2314,3835,1302,1403,2706,6540,28124,103706,9058,16378,2351,5212,10361,363,104250,871,2864,3735,1046,1836,2883,10301,7376,17677,2189,2453,4642,3640,3455,7095,2917,1941,4858,3175,1752,4928,1109,426,1534,2960,1474,4434,1522,1816,3339,3044,2529,5573,611,1930,2541,2900,973,3873,1249,391,1640,4751,816,5567,4131,383,4515,3950,749,4699,357,256,614,1084,759,1843,7166,51807,41349,93156,11739,-645,104250,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5808,10012,29910,6717,11722,8033,7305,3971,8974,2709,13160,6036,7875,5730,13540,11741,9394,2266,3662,19001,182401,17062,-2148,197151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3713,2892,17687,3601,6477,5590,4895,1533,4615,3345,5802,3078,4235,2055,6028,4353,5042,992,1773,7794,95499,9036,-285,104250,,,,,,,,,,,,,,,,,,,,,,,,21.8,15.9,31.7,24.5,23.3,27.7,25,18.6,23.1,25.9,26.8,24.4,25.7,25.8,26.4,25.2,26.8,32.8,22.6,25.6,28,25.8,,,,,,,,,,,,,,,,,,,,,,,
Jun-1991,11086,27817,38286,12870,10422,2754,24036,5699,4250,6372,11061,548,6508,6288,6499,16954,1051,107005,144733,8370,6645,5254,1159,117,6773,3617,-55,3558,993,1012,10521,22371,2227,5678,5962,1316,2101,3486,8744,30836,173379,9802,15864,4053,6446,20272,6563,191759,6714,12689,19403,6952,2137,2938,11203,1634,3990,2995,7571,818,5504,1642,3021,8992,551,59947,79349,4303,1128,3620,572,69,4261,5785,-108,5677,636,1404,11978,17409,1375,1695,3070,1415,1333,2748,5818,23227,102577,9235,14691,2678,4874,9374,404,104702,813,2154,2967,1107,2251,3357,9924,6177,16102,2110,2191,4302,3732,2842,6574,2831,2003,4834,3178,1689,4867,1150,442,1592,3047,1445,4492,1646,2094,3740,2974,2278,5252,652,2125,2778,3098,1033,4131,1320,423,1744,5097,926,6023,4435,415,4850,4460,834,5294,406,220,627,1136,787,1923,7754,53118,40082,93199,11568,-65,104702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5643,9781,28819,6730,9990,7067,6902,3712,8727,2857,12864,6198,7907,5883,13831,11815,9922,2165,3740,19572,178464,16524,-3066,191759,-2.8,-2.3,-3.6,0.2,-14.8,-12.0,-5.5,-6.5,-2.8,5.5,-2.3,2.7,0.4,2.7,2.1,0.6,5.6,-4.5,2.1,3.0,-2.2,-3.2,-2.7,-0.1,-0.1,-0.6,0,-0.9,-0.5,-0.2,-0.1,-0.1,0.1,-0.2,0.1,0,0.1,0.1,0,0.3,-0.1,0,0.3,-0.3,-0.5,-2.7,2944,3399,16131,3300,5908,5548,4812,1570,4707,3745,5445,3356,4510,2180,6672,4659,5656,1011,1840,8345,95737,8849,116,104702,-20.7,17.5,-8.8,-8.4,-8.8,-0.8,-1.7,2.4,2,12,-6.2,9,6.5,6.1,10.7,7,12.2,1.9,3.8,7.1,0.2,-2.1,0.4,22.3,17.2,30.9,21.7,21.3,26.1,24,17.7,23,26.1,25,25,26.4,26.3,27,25.2,27,33.3,22.2,25.7,27,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1992,11592,28099,39146,13136,10202,2821,24825,5696,4345,6616,11073,602,6499,6452,6714,17126,1348,109164,147734,7940,6826,3864,928,168,5119,3466,-164,3273,840,1175,9321,20372,2190,5163,5618,1423,2039,3581,8590,28636,173359,11489,16144,4374,6485,17036,5399,189027,7286,13379,20665,7259,2221,3072,11596,1732,4126,3327,7583,937,5711,1819,3225,9336,720,62664,83329,4067,1110,2371,479,91,2941,5572,-321,5250,549,1468,10208,15384,1322,1579,2900,1543,1255,2798,5698,21082,104411,10218,14997,2927,4976,6931,-832,103683,751,2301,3052,1021,1873,2895,9491,6637,16128,1999,2408,4407,3075,2396,5471,2479,1863,4342,3076,1620,4696,1319,403,1723,3143,1535,4678,1653,2533,4185,2986,2916,5902,586,1731,2317,2821,808,3629,1231,332,1562,5199,907,6106,4601,420,5021,4663,857,5520,507,219,726,1218,839,2057,8000,51818,40598,92416,10883,384,103683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,9801,27701,6738,8423,6831,7111,3606,8929,3060,13095,6097,8300,5913,13974,11999,10157,2124,3586,20043,177514,16445,-4771,189027,2.8,0.2,-3.9,0.1,-15.7,-3.3,3.0,-2.9,2.3,7.1,1.8,-1.6,5.0,0.5,1.0,1.6,2.4,-1.9,-4.1,2.4,-0.5,-0.5,-1.4,0.1,0,-0.6,0,-0.8,-0.1,0.1,-0.1,0.1,0.1,0.1,-0.1,0.2,0,0.1,0.1,0.1,0,-0.1,0.2,0,-0.9,-1.4,3028,2933,16209,3375,4761,5020,4660,1698,4868,4183,6127,2840,3987,1972,6558,4830,5913,1156,1971,8612,94699,8261,723,103683,2.8,-13.7,0.5,2.3,-19.4,-9.5,-3.2,8.2,3.4,11.7,12.5,-15.4,-11.6,-9.6,-1.7,3.7,4.5,14.4,7.1,3.2,-1.1,-6.6,-1,23.5,14.9,30.4,21,19.2,24.3,23,18.3,23.2,25.9,25.5,24.4,24.1,24.5,25.9,24.9,27.1,34.5,21.6,25,25.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1993,12034,27249,38904,13024,10127,2745,25412,5819,4569,7757,11582,695,6763,6642,6512,17147,1079,111750,150140,9173,6635,3674,1065,907,5738,3732,54,3807,939,1476,10830,23355,1838,2247,3480,1433,2615,4049,7477,30693,178126,12893,17751,4670,6659,21989,4731,198000,7727,13479,21206,7307,2400,3037,11719,1905,4323,3842,8002,1082,6130,1974,3195,9469,582,64966,86173,4626,1111,2099,554,464,3117,6223,110,6333,598,1826,11874,17610,1129,653,1782,1572,1574,3146,4928,22538,108710,11688,17741,3147,5492,10442,-737,110018,770,2712,3482,945,2331,3276,9996,7671,17666,1937,2580,4518,3189,2393,5582,2532,2133,4665,3431,1816,5247,1555,411,1966,3254,1872,5127,1867,2506,4373,2887,3909,6796,628,1712,2340,3011,818,3829,1344,336,1680,5216,882,6098,5093,431,5525,5013,1033,6046,572,260,832,1326,901,2227,7831,54566,44540,99107,11297,-386,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6008,10281,28685,6653,9109,6986,7348,3478,8983,3413,13455,6459,7887,6113,14004,12953,10412,2156,3616,20581,182971,16907,-1714,198000,3.6,4.9,3.6,-1.3,8.1,2.3,3.3,-3.5,0.6,11.5,2.8,5.9,-5.0,3.4,0.2,8.0,2.5,1.5,0.8,2.7,3.1,2.8,4.7,0.1,0.3,0.5,0,0.4,0.1,0.1,-0.1,0,0.2,0.2,0.2,-0.2,0.1,0,0.5,0.1,0,0,0.3,0.2,1.6,4.7,3458,3318,17744,3442,4857,5376,5200,1934,5390,4376,6983,2950,4191,2117,6579,5301,6469,1291,2126,8448,101551,8460,7,110018,14.2,13.1,9.5,2,2,7.1,11.6,13.9,10.7,4.6,14,3.9,5.1,7.4,0.3,9.8,9.4,11.7,7.9,-1.9,7.2,2.4,6.1,23.9,16.1,31,21.2,19.3,24.4,23.7,19.6,25,26.4,25,24.6,23.7,24.6,24.8,25.2,28.3,36.1,22.1,24.1,25.2,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1994,12256,25875,37919,13121,9703,2572,26141,5690,4434,8244,11679,779,7503,6817,6816,16482,1061,113237,150710,10623,7378,3306,1533,335,5261,4582,-182,4370,1022,1649,11692,25743,1483,2799,3367,1462,2451,3963,7288,32976,181408,15028,19940,5253,6946,23027,6550,204381,7887,12894,20782,7474,2543,2852,12042,1965,4271,4162,8286,1205,6891,2094,3434,9275,583,67077,87859,5449,1331,1924,798,174,2896,7798,-376,7423,665,1977,12961,19741,949,1443,2392,1585,1471,3056,5448,25189,113047,13318,20351,3550,5771,11422,14,115230,851,2759,3610,904,2229,3132,9874,8680,18554,1717,2849,4566,3377,2696,6074,2774,2271,5045,3526,1764,5290,1629,598,2227,3409,1481,4891,1853,2959,4812,3308,4869,8177,674,1372,2046,3234,690,3925,1435,280,1715,5210,1114,6324,5213,507,5720,5072,1114,6185,593,288,881,1315,869,2185,7855,55967,47245,103212,12857,-839,115230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6398,9941,29929,6859,9844,7389,7435,3639,9503,3724,15030,6406,8511,6396,14001,12897,10857,2222,3667,21174,190796,17637,-3880,204381,6.5,-3.3,4.3,3.1,8.1,5.8,1.2,4.6,5.8,9.1,11.7,-0.8,7.9,4.6,0.0,-0.4,4.3,3.1,1.4,2.9,4.3,4.3,3.2,0.2,-0.2,0.6,0.1,0.4,0.2,0,0.1,0.3,0.2,0.8,0,0.3,0.1,0,0,0.2,0,0,0.3,0.4,-1.1,3.2,3593,3168,18697,3472,5322,5841,5280,2217,5094,4834,8431,2659,4364,2193,6688,5516,6664,1382,2100,8615,106128,9626,-524,115230,3.9,-4.5,5.4,0.9,9.6,8.6,1.5,14.6,-5.5,10.5,20.7,-9.9,4.1,3.6,1.7,4.1,3,7,-1.2,2,4.5,13.8,4.7,23,15.7,30.3,21.5,19.6,24.7,23.3,19.6,23.2,26.4,26.7,24.2,23.9,24.7,24.4,24.9,28,36.3,21.5,23.8,25.9,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1995,12545,26918,39207,13625,9758,2549,26860,5874,4435,8174,12266,858,8872,6861,7419,16880,1540,118702,157474,10517,7703,4277,1087,-261,5304,5226,-208,4985,980,1819,12815,27371,1817,3255,4000,1469,2870,4300,8238,35540,190880,15301,23475,5849,7841,23619,6148,210481,8150,12988,21138,7917,2681,2823,12404,2072,4311,4285,8847,1340,8232,2184,3827,9763,874,71561,92699,5534,1320,2586,576,-135,3027,8607,-412,8196,656,2126,14004,20858,1205,1642,2847,1539,1755,3294,6141,26999,119698,14080,23537,3929,6461,13297,-113,120893,892,2379,3270,934,1932,2866,10395,9142,19537,1437,2801,4238,3412,3044,6456,2962,2373,5336,3602,1993,5595,1802,552,2355,3626,1096,4722,1976,2637,4614,3468,5671,9139,764,1259,2023,3899,637,4537,1613,259,1872,5349,1400,6749,5292,599,5891,5119,1209,6328,696,327,1023,1389,828,2217,8182,58627,48323,106950,14056,-113,120893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5978,9324,30318,7121,10141,8215,7698,3914,10010,4073,14554,6685,10544,6978,13985,12915,11339,2409,3961,21863,197603,19283,-6210,210481,-6.6,-6.2,1.3,3.8,3.0,11.2,3.5,7.6,5.3,9.4,-3.2,4.4,23.9,9.1,-0.1,0.1,4.4,8.4,8.0,3.3,3.6,9.3,3.0,-0.2,-0.3,0.2,0.1,0.1,0.4,0.1,0.1,0.2,0.2,-0.2,0.1,1,0.3,0,0,0.2,0.1,0.1,0.3,0.8,-1.1,3,3263,2929,19740,3195,5692,6181,5582,2347,4969,4643,9314,2562,4947,2333,7288,5672,6815,1602,2138,9080,110292,10488,113,120893,-9.2,-7.5,5.6,-8,6.9,5.8,5.7,5.9,-2.4,-4,10.5,-3.6,13.4,6.4,9,2.8,2.3,15.9,1.8,5.4,3.9,8.9,4.9,21.8,13.8,30.3,21.3,19.1,25.1,22.8,19.3,20.2,26.3,26.1,23.8,24.6,24.8,25.3,25.1,27.4,37.9,21.4,23.8,26,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1996,13183,27928,40880,13794,8955,2534,27616,6276,4501,8133,12908,989,9754,6968,7509,17015,1594,122136,162523,9798,7289,5446,1304,299,7250,6015,-216,5765,1157,2079,15392,30477,1798,2267,3282,1617,2461,4175,7423,37856,198424,18156,24020,6369,8057,21109,6205,218186,8783,13649,22432,8295,2824,2835,12881,2218,4427,4394,9440,1537,9152,2366,4010,10235,943,75559,97991,5168,1502,3424,711,160,4295,9706,-415,9291,528,2387,16501,23170,1263,1143,2406,1665,1537,3203,5608,28779,126770,16846,24072,4363,6703,11494,-79,128618,869,3374,4243,996,1880,2876,11188,8983,20171,1394,2589,3983,3432,3322,6754,3174,2748,5922,4101,2115,6216,1927,569,2496,3858,2004,5862,2196,2792,4988,4071,5892,9963,856,1378,2234,4376,622,4998,1734,266,2001,5343,1186,6529,5251,596,5847,5350,1234,6584,834,242,1076,1523,863,2386,8346,62472,51001,113473,15224,-79,128618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7402,8902,31733,7551,10234,8660,7953,3944,10623,4383,15212,6851,11034,6929,13453,13184,12004,2391,4050,22228,205008,19630,-6258,218186,23.8,-4.5,4.7,6.0,0.9,5.4,3.3,0.8,6.1,7.6,4.5,2.5,4.6,-0.7,-3.8,2.1,5.9,-0.8,2.2,1.7,3.7,1.8,3.7,0.7,-0.2,0.7,0.2,0,0.2,0.1,0,0.3,0.1,0.3,0.1,0.2,0,-0.3,0.1,0.3,0,0,0.2,0.2,0,3.7,4233,2919,20361,3057,5926,6778,6180,2478,6191,5018,10220,2786,5449,2485,7035,5606,7087,1716,2300,9194,117020,11519,79,128618,29.8,-0.3,3.1,-4.3,4.1,9.7,10.7,5.6,24.6,8.1,9.7,8.7,10.2,6.5,-3.5,-1.2,4,7.1,7.6,1.3,6.1,9.8,6.4,23.7,12.1,30.2,20.9,18.9,25.2,23.2,19.2,24,26.2,26.4,23.5,24.8,25.1,22.9,24.1,26.4,37.7,21.5,23.3,26.7,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1997,12904,28600,41139,13831,9353,2585,28314,6225,4699,8237,13572,1123,10706,7255,7510,17896,1318,126684,167426,10529,7494,6313,2387,568,9410,6795,388,7267,1254,2310,19131,36313,1720,-361,1400,1592,2679,4320,5744,42023,208010,20558,26399,6894,8568,20981,6392,227867,8460,14251,22711,8655,3030,2912,13654,2233,4656,4578,9839,1731,10003,2528,4105,10814,790,79530,102240,5640,1489,4036,1306,311,5653,10116,631,10747,625,2578,19602,26730,1227,-248,979,1560,1686,3246,4225,30954,133195,17942,24540,4770,6946,11111,355,135886,1041,2796,3836,888,2186,3074,11379,9832,21211,1237,2199,3436,3609,4108,7716,3440,2687,6127,4781,2107,6887,2063,499,2561,4373,1043,5416,2189,3164,5353,4392,6036,10428,912,1516,2429,4602,658,5260,1774,289,2062,5821,1317,7138,5569,721,6290,5716,1188,6904,860,274,1134,1687,873,2561,9351,66333,52842,119174,16357,355,135886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7266,8410,32795,7349,11241,9587,8618,4208,10803,4702,16650,7200,11638,7342,13510,13605,12395,2491,4186,23167,214387,20135,-6442,227867,-1.8,-5.5,3.3,-2.7,9.8,10.7,8.4,6.7,1.7,7.3,9.5,5.1,5.5,6.0,0.4,3.2,3.3,4.2,3.4,4.2,4.6,2.6,4.4,-0.1,-0.2,0.5,-0.1,0.5,0.4,0.3,0.1,0.1,0.1,0.7,0.2,0.3,0.2,0,0.2,0.2,0,0.1,0.4,0.2,-0.1,4.4,3852,3248,21516,2622,6810,7098,6798,2544,6421,5359,10611,3015,5764,2565,7703,5996,7370,1846,2471,10201,123811,12430,-355,135886,-9,11.3,5.7,-14.2,14.9,4.7,10,2.7,3.7,6.8,3.8,8.2,5.8,3.2,9.5,7,4,7.6,7.4,11,5.8,7.9,5.7,21.4,13.5,31.4,18,20.4,25.4,23.8,19.1,23.9,26,25.9,23.3,24.4,25,22.9,24,26.1,38,21.8,23.5,27.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1998,12984,29034,41625,14137,9601,2780,29100,6689,4925,8179,14982,1224,11412,7670,8052,19021,1797,133812,175193,13485,9281,5576,3153,256,9039,7355,-151,7239,1074,2485,18976,38730,1390,1541,2934,1499,2544,4084,6962,45654,219594,19554,29579,7288,8964,27008,6032,240933,8513,14507,23020,8947,3175,3138,14664,2420,4877,4668,10592,1886,10772,2760,4493,11985,1077,85456,108476,7156,1967,3653,1747,144,5543,10738,-236,10502,643,2718,19407,28529,1009,1054,2063,1500,1591,3091,5154,33683,142159,17464,28762,5101,7801,15898,328,144388,1030,2703,3733,1005,2758,3763,11924,10426,22350,1138,3683,4821,3976,3994,7969,3753,2522,6275,4712,2162,6875,2192,582,2774,4154,1320,5474,2248,3637,5884,4782,7053,11835,1004,1595,2599,4921,754,5675,1991,350,2340,5823,1598,7421,5902,847,6748,5763,1277,7040,887,464,1351,1664,885,2549,10167,68866,58776,127642,16418,328,144388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7263,9157,33972,8120,12348,10347,9015,4431,11296,5044,18591,7480,12346,8228,13110,13913,12857,2626,4335,23741,225359,21806,-6047,240933,0.0,8.9,3.6,10.5,9.9,7.9,4.6,5.3,4.6,7.3,11.7,3.9,6.1,12.1,-3.0,2.3,3.7,5.4,3.6,2.5,5.1,8.3,5.7,0.0,0.3,0.5,0.3,0.5,0.3,0.2,0.1,0.2,0.1,0.9,0.1,0.3,0.4,-0.2,0.1,0.2,0.1,0.1,0.3,0.7,0.2,5.7,3748,3765,22639,3579,7069,7283,7073,2740,6890,5904,12084,3161,6183,2899,7796,6321,7487,2160,2451,10998,132232,12484,-328,144388,-2.7,15.9,5.2,36.5,3.8,2.6,4.1,7.7,7.3,10.2,13.9,4.8,7.3,13,1.2,5.4,1.6,17,-0.8,7.8,6.8,0.4,6.3,21,14.7,30.8,22.8,20.3,25.5,24,18.9,24.7,25.7,27.1,22.7,24,24.6,22.3,23.8,25.9,38.2,21.2,23.8,26.6,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
