Series ID,A2335980C,A2335981F,A2335982J,A2335983K,A2335984L,A2335985R,A2335986T,A2335987V,A2335988W,A2335989X,A2335990J,A2335991K,A2335992L,A2335993R,A2335994T,A2335995V,A2335996W,A2335997X,A2335998A,A2336009X,A2336010J,A2336002J,A2336003K,A2336004L,A2336005R,A2335999C,A2336000C,A2336001F,A2713894R,A2713928A,A2336008W,A2336011K,A2336012L,A2336013R,A2335824A,A2335825C,A2335826F,A2335827J,A2335828K,A2335829L,A2335830W,A2335831X,A2335832A,A2335833C,A2335834F,A2335835J,A2478899T,A2336349V,A2335836K,A2335837L,A2335838R,A2335839T,A2335840A,A2335841C,A2335842F,A2335843J,A2335844K,A2335845L,A2335846R,A2335847T,A2335848V,A2335849W,A2335850F,A2335851J,A2335852K,A2335853L,A2335854R,A2335865W,A2335866X,A2335858X,A2335859A,A2335860K,A2335861L,A2335855T,A2335856V,A2335857W,A2713890F,A2713924T,A2335864V,A2335867A,A2335868C,A2335869F,A2335870R,A2335871T,A2335872V,A2335873W,A2335874X,A2335875A,A2335876C,A2335877F,A2335878J,A2335879K,A2335880V,A2335881W,A2478900R,A2336323W,A2714472J,A2714473K,A2714474L,A2714476T,A2714477V,A2714478W,A2714480J,A2714481K,A2714482L,A2714484T,A2714485V,A2714486W,A2714488A,A2714489C,A2714490L,A2714492T,A2714493V,A2714494W,A2714496A,A2714497C,A2714498F,A2714500F,A2714501J,A2714502K,A2714504R,A2714505T,A2714506V,A2714508X,A2714509A,A2714510K,A2714512R,A2714513T,A2714514V,A2714516X,A2714517A,A2714518C,A2714520R,A2714521T,A2714522V,A2714524X,A2714525A,A2714526C,A2714528J,A2714529K,A2714530V,A2714532X,A2714533A,A2714534C,A2714536J,A2714537K,A2714538L,A2714540X,A2714541A,A2714542C,A2714544J,A2714545K,A2714546L,A2335085J,A2335503L,A2335087L,A2335506V,A2335507W,A2335508X,A83748446J,A2334382K,A2334383L,A2334384R,A2334390K,A2334391L,A2334386V,A2334385T,A2713869L,A2713903F,A2334389A,A2334392R,A2334393T,A2334394V,A2334395W,A2334396X,A2334397A,A2334398C,A2334399F,A2334400C,A2334401F,A2334402J,A2715301J,A2715302K,A2715303L,A2715304R,A2715305T,A2715306V,A2715307W,A2715308X,A2715309A,A2715310K,A2715311L,A2715312R,A2715313T,A2715314V,A2715315W,A2715316X,A2715317A,A2715318C,A2715319F,A2334268F,A2334270T,A2715075W,A2715076X,A2715077A,A2715078C,A2715079F,A2715080R,A2715081T,A2715082V,A2715083W,A2715084X,A2715085A,A2715086C,A2715087F,A2715088J,A2715089K,A2715090V,A2715091W,A2715092X,A2715093A,A2529250J,A2478172C,A2478173F,A2478174J,A2478175K,A2714970X,A2714971A,A2714972C,A2714973F,A2714974J,A2714975K,A2714976L,A2714977R,A2714978T,A2714979V,A2714980C,A2714981F,A2714982J,A2714983K,A2714984L,A2714985R,A2714986T,A2714987V,A2714988W,A2529251K,A2477966L,A2477967R,A2477968T,A2715643J,A2715644K,A2715645L,A2715646R,A2715647T,A2715648V,A2715649W,A2715650F,A2715651J,A2715652K,A2715653L,A2715654R,A2715655T,A2715656V,A2715657W,A2715658X,A2715659A,A2715660K,A2715661L,A2529252L,A2477987X,A2477988A,A2477989C,A2714475R,A2714479X,A2714483R,A2714487X,A2714491R,A2714495X,A2714499J,A2714503L,A2714507W,A2714511L,A2714515W,A2714519F,A2714523W,A2714527F,A2714531W,A2714535F,A2714539R,A2714543F,A2714547R,A2529285J,A2478754C,A2478755F,A2478756J,A2478757K,A2714010R,A2714011T,A2714012V,A2714013W,A2714014X,A2714015A,A2714016C,A2714017F,A2714018J,A2714019K,A2714020V,A2714021W,A2714022X,A2714023A,A2714024C,A2714025F,A2714026J,A2714027K,A2714028L,A2529286K,A2478541X,A2478542A,A2478543C,A2715837F,A2715838J,A2715839K,A2715840V,A2715841W,A2715842X,A2715843A,A2715844C,A2715845F,A2715846J,A2715847K,A2715848L,A2715849R,A2715850X,A2715851A,A2715852C,A2715853F,A2715942J,A2715951K,A2529287L,A2478563L,A2478565T,A2714799K,A2714800J,A2714801K,A2714802L,A2714803R,A2714804T,A2714805V,A2714806W,A2714807X,A2714808A,A2714809C,A2714810L,A2714811R,A2714812T,A2714813V,A2714814W,A2714815X,A2714816A,A2714817C,A2529271V,A2528585T,A2528586V,A2528587W
Jun-1990,3312,8228,11366,3640,3570,845,6852,1507,1379,1547,3325,180,1910,1924,2425,5211,42,32061,43378,2818,1656,1730,684,210,2734,1536,-61,1471,369,424,4447,8210,887,587,1452,396,1084,1412,3075,11144,54532,2998,2691,811,986,2418,2576,59656,2097,3568,5665,1844,632,902,2874,362,1209,717,2138,257,1628,378,984,2610,22,16558,22223,1379,323,1009,309,99,1417,1954,-90,1864,320,372,3973,5675,480,429,909,433,607,1041,1950,7625,29848,2934,2098,471,677,243,466,31187,484,1399,1883,219,639,858,2580,2420,5000,429,467,896,1072,877,1949,900,540,1440,991,575,1566,521,143,665,987,838,1825,289,511,800,765,624,1389,148,583,731,614,234,848,495,144,640,1348,175,1523,1191,88,1279,1708,212,1920,140,72,211,478,219,697,1916,15360,12676,28036,2983,168,31187,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802,2502,8926,5514,3200,2177,2198,1330,2685,462,2847,1481,2235,1805,3435,4042,3105,212,1954,5454,56530,4405,-1276,59656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884,859,5911,1405,1702,1539,1611,515,1530,664,1470,773,911,707,1847,1517,1524,101,857,2059,29384,2248,-445,31187,,,,,,,,,,,,,,,,,,,,,,,,11.1,4.7,10.6,9.6,6.1,7.6,8.2,6.3,7.6,5.1,6.8,6.1,5.5,8.9,8.1,8.8,8.1,3.3,10.9,6.8,7,7.7,,,,,,,,,,,,,,,,,,,,,,,
Jun-1991,3423,8510,11752,3819,3321,841,7085,1559,1358,1619,3525,184,2002,1846,2391,5418,121,33022,44721,2934,1612,1414,925,150,2535,1392,-44,1346,378,456,4194,7954,772,580,1345,417,1093,1450,3013,10829,55396,3609,2725,897,948,918,2294,59442,2238,3870,6107,2010,681,930,3156,389,1244,817,2389,270,1762,405,1046,2882,67,18047,24155,1492,315,852,442,74,1368,1808,-66,1741,259,413,3782,5589,430,435,865,440,631,1071,1936,7525,31679,3090,2249,549,698,-948,419,31843,447,801,1248,218,677,895,2612,1984,4596,466,445,911,1150,966,2116,981,599,1580,987,607,1594,515,153,668,1044,849,1893,310,617,928,839,627,1466,154,642,796,637,245,882,516,159,675,1403,192,1595,1310,97,1407,1868,237,2105,143,73,216,506,242,747,2074,16107,12288,28395,3170,277,31843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3730,2421,8804,5405,3242,2053,2246,1290,2533,489,2753,1523,2216,1884,3497,4019,3240,210,2033,5608,56364,4356,-1277,59442,-1.9,-3.2,-1.4,-2.0,1.3,-5.7,2.2,-3.0,-5.7,5.9,-3.3,2.8,-0.9,4.4,1.8,-0.6,4.4,-0.9,4.0,2.8,-0.3,-1.1,-0.4,-0.1,-0.1,-0.2,-0.2,0.1,-0.2,0.1,-0.1,-0.3,0,-0.2,0.1,0,0.1,0.1,0,0.2,0,0.1,0.3,-0.1,0,-0.4,1251,900,5475,1401,1850,1684,1632,511,1600,767,1541,827,943,745,1978,1663,1665,102,911,2217,29663,2441,-261,31843,-33.6,4.7,-7.4,-0.3,8.7,9.4,1.3,-0.7,4.6,15.5,4.8,7.1,3.5,5.5,7.1,9.7,9.2,1.1,6.2,7.7,0.9,8.6,2.1,9.5,4.5,10.5,9.2,6.7,7.9,8.1,5.8,7.8,5.4,7.1,6.2,5.5,9,8,9,8,3.4,11,6.8,7.4,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1992,3574,8696,12105,3848,3257,799,7281,1530,1347,1661,3529,197,2042,1916,2404,5482,387,33580,45626,2850,1672,733,746,88,1560,1398,-34,1364,290,446,3559,7094,744,696,1457,449,986,1412,3081,10023,55271,4265,2992,919,991,86,1809,58367,2398,4123,6521,2068,709,899,3397,403,1250,913,2382,301,1839,464,1106,3014,218,18964,25484,1483,315,437,368,44,849,1838,-51,1787,197,381,3214,5012,411,516,927,479,569,1048,1975,6987,32472,3599,2409,570,740,-1459,108,32140,410,997,1407,169,753,921,2573,2007,4579,448,534,982,933,783,1716,927,544,1471,1024,580,1604,519,138,657,1232,710,1943,308,725,1032,850,767,1617,149,529,679,626,194,819,533,130,663,1320,230,1550,1312,120,1432,1847,257,2103,153,80,233,561,265,825,2323,15894,12663,28558,3102,481,32140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871,2609,8477,5267,2648,1937,2194,1266,2527,529,2890,1516,2272,1976,3487,4034,3290,209,1991,5744,55698,4335,-1667,58367,3.8,7.8,-3.7,-2.6,-18.3,-5.7,-2.3,-1.8,-0.2,8.0,5.0,-0.4,2.5,4.9,-0.3,0.4,1.5,-0.6,-2.1,2.4,-1.2,-0.5,-1.8,0.2,0.3,-0.6,-0.2,-1,-0.2,-0.1,0,0,0.1,0.2,0,0.1,0.2,0,0,0.1,0,-0.1,0.2,0,-0.7,-1.8,1408,924,5458,1526,1492,1578,1643,503,1625,851,1697,709,875,723,1864,1694,1669,107,1001,2496,29842,2438,-140,32140,12.5,2.7,-0.3,9,-19.3,-6.3,0.7,-1.6,1.6,11,10.1,-14.3,-7.2,-3.1,-5.8,1.8,0.2,5.5,9.9,12.6,0.6,-0.1,0.9,10.9,4.7,10.2,9.5,6,7.6,8.1,5.4,7.8,5.3,7.1,6.1,5.3,9,7.3,8.7,7.6,3.2,11,7.3,7.5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1993,3581,9465,12792,3625,3011,762,7419,1639,1364,1639,3571,220,2018,1862,2250,5469,550,33447,46154,2989,1781,705,454,41,1221,1326,-50,1273,355,586,3403,7027,610,601,1230,453,1167,1558,3025,9903,55630,4580,3495,984,1025,1954,1397,60025,2426,4539,6964,2010,764,871,3517,441,1269,895,2454,337,1888,488,1079,3063,313,19390,26354,1554,372,423,226,20,669,1821,-79,1742,219,502,3132,5059,346,449,796,443,676,1120,1915,6974,33328,3941,3093,616,820,-408,187,33751,433,1182,1616,176,820,996,2703,2024,4727,440,614,1053,893,792,1685,1005,597,1602,1049,623,1672,585,143,728,1244,823,2067,314,708,1021,924,1071,1995,161,531,692,674,195,868,580,133,714,1342,249,1591,1359,126,1485,1914,278,2192,150,96,246,577,285,862,2416,16524,13705,30229,3228,294,33751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3489,2592,8354,5510,2696,1877,2215,1187,2543,597,3015,1627,2144,2067,3518,4271,3327,199,2000,5893,56138,4426,-541,60025,-9.9,-0.7,-1.5,4.6,1.8,-3.1,0.9,-6.3,0.6,13.0,4.3,7.4,-5.6,4.6,0.9,5.9,1.1,-4.9,0.4,2.6,0.8,2.1,2.8,-0.7,0,-0.2,0.4,0.1,-0.1,0,-0.1,0,0.1,0.2,0.2,-0.2,0.2,0.1,0.4,0.1,0,0,0.3,0.2,1.9,2.8,1616,1004,5648,1649,1473,1715,1713,557,1735,843,2093,730,925,775,1919,1755,1741,111,1044,2562,31609,2553,-411,33751,14.8,8.7,3.5,8,-1.3,8.7,4.3,10.8,6.8,-0.9,23.4,3.1,5.8,7.2,2.9,3.6,4.3,3.3,4.2,2.7,5.9,4.7,5,11.2,4.9,9.9,10.2,5.8,7.8,7.8,5.7,8,5.1,7.5,6.1,5.2,9,7.2,8.3,7.6,3.1,10.8,7.3,7.6,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1994,3754,9155,12734,3740,2955,773,7642,1597,1396,1671,3599,241,2146,1876,2552,5278,283,33904,46561,3249,1873,507,526,56,1083,1314,-32,1281,358,604,3352,7176,474,460,946,477,1116,1550,2726,9787,55882,4891,3129,1097,939,1860,2172,61834,2558,4531,7089,2120,838,883,3652,435,1322,936,2522,366,2050,520,1252,3003,164,20062,27151,1746,410,307,263,28,597,1849,-52,1797,232,511,3137,5294,287,306,592,459,634,1093,1685,6979,34130,4013,2838,689,757,-507,347,35077,459,1247,1706,176,753,929,2710,2400,5110,404,500,904,928,738,1666,1011,657,1668,1070,626,1696,585,198,783,1258,761,2019,338,826,1164,969,1127,2096,199,423,622,836,164,1000,674,111,786,1535,264,1799,1456,146,1602,2043,294,2338,183,104,287,596,278,874,2472,17431,14089,31519,3468,90,35077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3413,2742,8805,5741,2614,2045,2308,1201,2744,654,3395,1605,2311,2182,3584,4381,3437,191,2044,6068,58634,4616,-1419,61834,-2.2,5.8,5.4,4.2,-3.0,9.0,4.2,1.2,7.9,9.5,12.6,-1.4,7.8,5.6,1.9,2.6,3.3,-4.0,2.2,3.0,4.4,4.3,3.0,-0.1,0.3,0.8,0.4,-0.1,0.3,0.2,0,0.3,0.1,0.6,0,0.3,0.2,0.1,0.2,0.2,0,0.1,0.3,0.3,-1.5,3,1702,931,6071,1419,1454,1782,1741,602,1684,963,2202,674,1073,844,2122,1891,1858,130,1060,2640,32843,2738,-504,35077,5.3,-7.4,7.5,-13.9,-1.2,3.9,1.6,8,-2.9,14.2,5.2,-7.7,16,8.9,10.6,7.8,6.8,16.8,1.6,3.1,3.9,7.2,3.9,10.9,4.6,9.8,8.8,5.4,7.5,7.7,5.3,7.7,5.3,7,6.1,5.9,9.5,7.8,8.5,7.8,3.4,10.9,7.3,7.4,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1995,3828,9150,12819,3786,3155,824,7864,1689,1423,1713,3711,260,2348,1883,3132,5360,443,35671,48437,2803,1656,707,535,-55,1209,1940,-18,1927,381,629,4434,8158,615,374,993,539,1228,1725,2972,11016,59108,4609,3466,1214,1087,-155,2301,62524,2619,4530,7149,2210,944,931,3764,460,1368,987,2644,400,2251,559,1586,3127,265,21496,28645,1572,425,439,272,-28,682,2650,-27,2622,270,527,4102,6098,386,242,628,504,701,1206,1833,7932,36577,4074,3142,759,869,-1163,252,36487,475,1304,1779,183,695,879,2756,2423,5179,382,536,918,917,715,1633,984,683,1667,1145,703,1848,623,229,852,1242,932,2175,340,734,1074,919,1562,2482,219,391,610,980,150,1131,724,107,832,1417,241,1658,1421,143,1564,2181,299,2481,199,100,299,635,262,897,2484,17746,14694,32440,3795,252,36487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2574,2680,9118,5398,2447,2249,2423,1259,2925,727,3415,1686,2808,2504,3576,4383,3557,201,2114,6251,59880,5004,-2379,62524,-24.6,-2.3,3.6,-6.0,-6.4,10.0,5.0,4.8,6.6,11.2,0.6,5.0,21.5,14.8,-0.2,0.0,3.5,5.4,3.4,3.0,2.1,8.4,1.1,-1.4,-0.1,0.5,-0.6,-0.3,0.3,0.2,0.1,0.3,0.1,0,0.1,0.8,0.5,0,0,0.2,0,0.1,0.3,0.6,-1.6,1.1,1775,882,6166,1430,1416,1778,1894,660,1836,890,2589,643,1189,869,1985,1845,1970,135,1087,2754,33791,2947,-252,36487,4.3,-5.2,1.6,0.7,-2.7,-0.3,8.8,9.7,9,-7.6,17.6,-4.5,10.8,3,-6.5,-2.4,6,3.9,2.5,4.3,2.9,7.7,4,11.9,4.1,9.5,9.5,4.8,7.2,7.7,5.4,7.4,5,7.3,6,5.9,9.2,6.9,8.2,7.9,3.2,10.9,7.2,7.3,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1996,4114,9337,13336,3888,3133,844,8041,1671,1418,1841,3859,299,2615,1853,3422,5439,262,36871,50147,2359,1475,792,538,174,1512,1653,50,1716,430,723,4430,7758,605,139,743,554,1138,1671,2655,10330,59944,5101,3316,1318,1074,867,2101,64940,2940,4508,7448,2327,1010,954,3868,467,1389,1102,2809,459,2493,601,1767,3291,163,22701,30148,1302,358,505,281,91,877,2228,74,2302,227,606,4013,5674,403,86,489,512,650,1161,1650,7324,37472,4717,3039,840,870,-647,259,38732,482,1807,2289,231,852,1082,3011,2404,5415,373,594,967,911,701,1612,1052,790,1842,1215,751,1966,671,251,922,1271,1035,2306,373,798,1171,909,1463,2371,227,435,662,1024,140,1164,729,115,844,1526,226,1752,1467,137,1604,2367,296,2663,239,81,320,649,275,925,2489,18727,15639,34366,4107,260,38732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3049,2703,9244,4954,2351,2402,2591,1225,3135,789,3655,1757,2785,2576,3733,4419,3741,198,2180,6320,61971,5117,-2165,64940,18.4,0.9,1.4,-8.2,-3.9,6.8,6.9,-2.7,7.2,8.4,7.0,4.2,-0.8,2.9,4.4,0.8,5.2,-1.3,3.1,1.1,3.5,2.3,3.9,0.8,0,0.2,-0.7,-0.2,0.2,0.3,-0.1,0.3,0.1,0.4,0.1,0,0.1,0.2,0.1,0.3,0,0.1,0.1,0.2,0.3,3.9,2287,1085,6468,1529,1396,1949,2015,717,1939,973,2540,696,1226,882,2101,1888,2111,146,1122,2774,35846,3146,-259,38732,28.8,23,4.9,7,-1.4,9.6,6.4,8.6,5.6,9.3,-1.9,8.2,3.1,1.6,5.8,2.3,7.2,8.4,3.3,0.7,6.1,6.7,6.2,12.8,4.5,9.6,10.5,4.5,7.3,7.6,5.6,7.5,5.1,6.6,5.9,5.6,8.9,6.8,8.1,7.9,3.2,10.5,7,7.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1997,4114,9654,13611,4059,3151,777,8206,1731,1337,1700,3957,341,2771,1885,3142,5698,325,37377,50920,2438,1482,1091,562,157,1846,2185,-50,2140,472,856,5420,9047,577,277,843,613,1284,1870,2985,11947,62522,6095,3860,1404,1197,-46,2009,66927,2929,4710,7639,2487,1051,884,3981,505,1319,1087,2872,515,2613,646,1676,3462,205,23303,30941,1318,362,702,294,83,1079,2767,-69,2698,271,713,4762,6442,391,172,563,545,735,1280,1843,8285,39227,5340,3356,906,946,-864,325,40632,575,1606,2181,229,902,1130,2987,2845,5833,345,846,1191,1079,725,1803,1075,731,1806,1369,696,2064,717,206,923,1377,939,2316,385,841,1226,957,1665,2622,233,490,723,1036,141,1177,713,121,834,1668,253,1920,1610,146,1756,2332,275,2607,245,87,332,672,277,949,2776,19603,16566,36169,4138,325,40632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3083,2753,9246,4649,2598,2326,2634,1255,3192,851,3985,1892,2828,2650,4101,4626,3832,209,2285,6560,63772,5207,-2066,66927,1.1,1.8,0.0,-6.1,10.5,-3.1,1.7,2.4,1.8,7.9,9.0,7.7,1.5,2.9,9.9,4.7,2.4,5.3,4.8,3.8,2.9,1.8,3.1,0.1,0.1,0,-0.5,0.4,-0.1,0.1,0,0.1,0.1,0.5,0.2,0.1,0.1,0.6,0.3,0.1,0,0.2,0.4,0.1,0.2,3.1,2184,1183,6972,1857,1581,1932,2083,716,1905,1020,2555,758,1250,881,2320,2083,2212,151,1158,2986,37789,3167,-325,40632,-4.5,9,7.8,21.4,13.2,-0.9,3.4,0,-1.8,4.9,0.6,9,1.9,-0.1,10.4,10.4,4.8,3.3,3.2,7.6,5.4,0.7,4.9,12.1,4.9,10.2,12.7,4.7,6.9,7.3,5.4,7.1,4.9,6.2,5.9,5.3,8.6,6.9,8.3,7.8,3.1,10.2,6.9,7,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
